#Annotated with Bakta v1.9.4, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_540	2177	2797	+	KLHPPI_07305	22.9	10.2	PF13338.9|AbiEi_4	PFAM:PF13338.9
contig_542	329	460	-	KLHPPI_07325	5.1	9.4		
contig_542	1518	2216	-	KLHPPI_07340	25.2	9.2	PF00694.22|Aconitase_C	PFAM:PF00694.22
contig_543	2210	2851	-	KLHPPI_07360	21.7	4.1		
contig_544	1466	1957	-	KLHPPI_07370	17.1	5.8		
contig_550	124	1446	+	KLHPPI_07415	47.9	7.2	PF00027.32|cNMP_binding, PF00070.30|Pyr_redox, PF07992.17|Pyr_redox_2	PFAM:PF00027.32, PFAM:PF00070.30, PFAM:PF07992.17
contig_550	1639	1827	+	KLHPPI_07420	7.0	10.9		
contig_550	1849	2190	-	KLHPPI_07425	13.0	9.3		
contig_551	278	880	-	KLHPPI_07430	21.9	8.4		
contig_552	1326	1448	+	KLHPPI_07445	4.1	5.9		
contig_552	1464	1574	+	KLHPPI_07450	4.1	9.7		
contig_552	1635	1826	+	KLHPPI_07455	6.7	4.7		
contig_552	2484	2987	+	KLHPPI_07460	18.9	11.5		
contig_552	4032	4469	-	KLHPPI_07470	16.1	5.3		
contig_553	1821	2249	-	KLHPPI_07490	15.6	7.0		
contig_554	356	775	-	KLHPPI_07495	15.6	5.0		
contig_554	824	1240	-	KLHPPI_07500	15.3	8.9		
contig_555	154	276	+	KLHPPI_07505	4.1	4.3		
contig_555	454	1704	-	KLHPPI_07510	43.9	5.7	PF13533.9|Biotin_lipoyl_2, PF16576.8|HlyD_D23	PFAM:PF13533.9, PFAM:PF16576.8
contig_556	155	877	+	KLHPPI_07515	26.0	9.7		
contig_557	4134	4592	-	KLHPPI_07540	16.2	8.1		
contig_558	362	1285	-	KLHPPI_07545	33.9	12.0		
contig_559	52	1599	+	KLHPPI_07550	54.8	5.6		
contig_560	221	337	+	KLHPPI_07565	4.4	10.4		
contig_560	851	1924	-	KLHPPI_07570	41.9	10.1		
contig_561	284	679	+	KLHPPI_07575	14.8	5.5		
contig_564	69	1430	-	KLHPPI_07605	51.5	12.0		
contig_564	1484	2932	-	KLHPPI_07610	55.4	8.4	PF17753.4|Ig_mannosidase, PF17786.4|Mannosidase_ig	PFAM:PF17753.4, PFAM:PF17786.4
contig_565	188	958	-	KLHPPI_07615	26.8	4.3		
contig_566	101	1849	+	KLHPPI_07620	60.8	4.7		
contig_568	378	1106	-	KLHPPI_07635	25.1	12.0		
contig_570	1263	2111	-	KLHPPI_07660	28.8	4.5		
contig_572	927	1628	-	KLHPPI_07675	24.9	4.2		
contig_573	270	1211	+	KLHPPI_07680	34.2	8.9	PF00145.20|DNA_methylase	PFAM:PF00145.20
contig_573	1236	1568	-	KLHPPI_07685	12.7	5.0		
contig_573	1591	1890	-	KLHPPI_07690	11.3	5.2	PF18765.4|Polbeta	PFAM:PF18765.4
contig_574	3295	3717	+	KLHPPI_07705	14.0	9.2	PF00036.35|EF-hand_1, PF13405.9|EF-hand_6	PFAM:PF00036.35, PFAM:PF13405.9
contig_576	40	738	+	KLHPPI_07735	24.4	7.6	PF13692.9|Glyco_trans_1_4	PFAM:PF13692.9
contig_577	103	273	+	KLHPPI_07745	6.2	10.7		
contig_578	87	704	+	KLHPPI_07755	22.1	5.3		
contig_578	1702	2520	-	KLHPPI_07765	27.3	4.1		
contig_579	57	1445	+	KLHPPI_07770	49.4	5.5		
contig_580	940	2196	-	KLHPPI_07780	46.6	5.9	PF00496.25|SBP_bac_5	PFAM:PF00496.25
contig_582	253	759	+	KLHPPI_07790	18.7	11.4		
contig_582	908	1729	-	KLHPPI_07795	27.4	4.1		
contig_583	44	742	+	KLHPPI_07800	24.9	5.4		
contig_583	742	975	+	KLHPPI_07805	8.4	10.0		
contig_583	976	1932	-	KLHPPI_07810	35.5	6.4		
contig_584	7	180	+	KLHPPI_07815	6.4	10.9		
contig_584	199	315	+	KLHPPI_07820	4.5	12.0		
contig_584	1563	2213	-	KLHPPI_07825	23.1	9.2		
contig_585	1017	1451	-	KLHPPI_07835	15.6	6.1		
contig_585	1461	1802	-	KLHPPI_07840	12.4	5.6		
contig_586	1668	2930	+	KLHPPI_07850	45.3	8.2	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_587	59	1393	+	KLHPPI_07860	48.8	6.0	PF00512.28|HisKA, PF02518.29|HATPase_c, PF13188.10|PAS_8	PFAM:PF00512.28, PFAM:PF02518.29, PFAM:PF13188.10
contig_589	2047	2277	+	KLHPPI_07875	8.6	10.3	PF02403.25|Seryl_tRNA_N	PFAM:PF02403.25
contig_589	2274	2369	+	KLHPPI_07880	3.6	6.0		
contig_590	1311	1553	-	KLHPPI_07890	9.2	6.1		
contig_591	21	1355	+	KLHPPI_07895	46.3	5.5		
contig_591	1357	2400	-	KLHPPI_07900	39.1	10.7	PF00356.24|LacI	PFAM:PF00356.24
contig_591	2465	3454	+	KLHPPI_07905	34.1	8.8		
contig_592	100	1695	-	KLHPPI_07910	57.8	4.7	PF02463.22|SMC_N	PFAM:PF02463.22
contig_593	950	2161	-	KLHPPI_07920	42.5	4.9		
contig_594	1704	1907	+	KLHPPI_07930	7.4	6.6		
contig_594	2907	3254	-	KLHPPI_07935	12.5	9.0		
contig_594	3251	4417	-	KLHPPI_07940	43.7	9.4		
contig_595	489	686	-	KLHPPI_07945	7.0	10.5		
contig_595	948	1079	-	KLHPPI_07950	4.9	12.0		
contig_595	1104	1448	-	KLHPPI_07955	12.8	12.0		
contig_596	2948	3952	-	KLHPPI_07975	36.7	9.6		
contig_596	4096	5232	-	KLHPPI_07980	41.3	7.1		
contig_596	5253	5552	-	KLHPPI_07985	10.6	7.7		
contig_598	1001	1792	+	KLHPPI_08000	28.4	6.7		
contig_601	9	224	+	KLHPPI_08070	8.1	9.0		
contig_601	239	976	+	KLHPPI_08075	26.7	5.8	PF00149.31|Metallophos, PF12850.10|Metallophos_2	PFAM:PF00149.31, PFAM:PF12850.10
contig_601	1018	1848	+	KLHPPI_08080	30.7	5.5	PF00149.31|Metallophos, PF12850.10|Metallophos_2	PFAM:PF00149.31, PFAM:PF12850.10
contig_602	161	1267	+	KLHPPI_08085	40.3	6.3	PF00005.30|ABC_tran, PF13304.9|AAA_21, PF16326.8|ABC_tran_CTD	PFAM:PF00005.30, PFAM:PF13304.9, PFAM:PF16326.8
contig_603	84	257	+	KLHPPI_08095	5.9	4.9		
contig_603	1060	1803	-	KLHPPI_08105	26.6	6.5	PF00202.24|Aminotran_3	PFAM:PF00202.24
contig_605	489	629	+	KLHPPI_08115	4.8	8.3		
contig_605	675	1505	+	KLHPPI_08120	29.2	6.0	PF11412.11|DsbC	PFAM:PF11412.11
contig_606	3153	3932	+	KLHPPI_08155	29.0	10.1	PF13189.9|Cytidylate_kin2	PFAM:PF13189.9
contig_607	318	551	+	KLHPPI_08160	8.6	9.7		
contig_607	940	1161	-	KLHPPI_08165	8.2	8.0		
contig_608	2070	2600	-	KLHPPI_08185	20.3	5.4		
contig_609	386	937	+	KLHPPI_08190	19.9	5.5		
contig_610	102	956	+	KLHPPI_08200	30.7	4.7		
contig_610	896	1693	-	KLHPPI_08205	28.6	5.7	PF13692.9|Glyco_trans_1_4	PFAM:PF13692.9
contig_611	1239	1529	-	KLHPPI_08215	10.4	6.7		
contig_611	2479	2949	-	KLHPPI_08225	16.3	5.0		
contig_613	795	956	+	KLHPPI_08235	5.6	8.9		
contig_613	1245	2567	-	KLHPPI_08240	49.0	5.6		
contig_614	75	2405	+	KLHPPI_08245	82.2	5.2		
contig_614	2558	3487	+	KLHPPI_08250	31.5	6.2		
contig_616	4747	4923	-	KLHPPI_08285	6.5	10.7		
contig_617	92	565	+	KLHPPI_08290	16.4	6.9		
contig_617	675	1910	+	KLHPPI_08295	44.7	6.9	PF08585.15|RMI1_N	PFAM:PF08585.15
contig_618	114	1481	-	KLHPPI_08300	48.9	4.9		
contig_619	392	514	-	KLHPPI_08305	4.5	11.7		
contig_619	576	2438	+	KLHPPI_08310	68.3	9.1	PF00515.31|TPR_1, PF07719.20|TPR_2, PF13176.9|TPR_7, PF13181.9|TPR_8, PF13374.9|TPR_10, PF13414.9|TPR_11, PF13424.9|TPR_12, PF13428.9|TPR_14, PF13431.9|TPR_17, PF13432.9|TPR_16, PF14559.9|TPR_19	PFAM:PF00515.31, PFAM:PF07719.20, PFAM:PF13176.9, PFAM:PF13181.9, PFAM:PF13374.9, PFAM:PF13414.9, PFAM:PF13424.9, PFAM:PF13428.9, PFAM:PF13431.9, PFAM:PF13432.9, PFAM:PF14559.9
contig_620	312	1841	-	KLHPPI_08320	56.8	4.9		
contig_621	121	639	+	KLHPPI_08325	18.8	5.4		
contig_621	1360	1782	-	KLHPPI_08330	16.0	12.0		
contig_622	48	707	+	KLHPPI_08335	24.3	10.4	PF13090.9|PP_kinase_C	PFAM:PF13090.9
contig_623	820	1512	-	KLHPPI_08355	25.3	9.5	PF00571.31|CBS, PF01380.25|SIS	PFAM:PF00571.31, PFAM:PF01380.25
contig_624	31	489	+	KLHPPI_08360	16.0	4.3		
contig_624	1641	1958	+	KLHPPI_08370	11.3	5.0		
contig_624	2241	2402	-	KLHPPI_08375	5.9	9.7		
contig_624	3471	3827	-	KLHPPI_08380	12.9	11.7		
contig_626	773	931	+	KLHPPI_08400	5.7	9.9		
contig_627	75	791	+	KLHPPI_08410	25.7	5.5		
contig_627	3884	4696	-	KLHPPI_08435	29.0	9.8	PF12679.10|ABC2_membrane_2	PFAM:PF12679.10
contig_630	100	348	+	KLHPPI_08455	9.5	11.5		
contig_630	571	852	+	KLHPPI_08460	10.4	12.0		
contig_630	1363	2184	-	KLHPPI_08465	28.4	4.6		
contig_631	80	334	+	KLHPPI_08470	9.7	9.5		
contig_631	1316	2122	-	KLHPPI_08480	28.7	4.3		
contig_633	24	1550	+	KLHPPI_08510	53.5	4.6		
contig_633	1636	2559	+	KLHPPI_08515	32.7	5.9		
contig_633	3828	4553	+	KLHPPI_08525	27.3	9.6	PF00165.26|HTH_AraC, PF12833.10|HTH_18	PFAM:PF00165.26, PFAM:PF12833.10
contig_634	2883	3362	-	KLHPPI_08545	17.3	11.5		
contig_635	978	1553	-	KLHPPI_08550	19.4	7.7	PF02875.24|Mur_ligase_C	PFAM:PF02875.24
contig_636	865	1473	+	KLHPPI_08560	22.2	5.4	PF01648.23|ACPS	PFAM:PF01648.23
contig_636	2015	2860	-	KLHPPI_08570	30.7	6.9	PF09865.12|DUF2092	PFAM:PF09865.12
contig_637	1165	1503	-	KLHPPI_08575	12.3	10.8		
contig_637	1813	1980	-	KLHPPI_08580	6.4	10.4		
contig_638	56	289	-	KLHPPI_08585	9.1	10.6		
contig_638	395	811	+	KLHPPI_08590	15.7	9.6		
contig_638	817	1158	-	KLHPPI_08595	12.6	7.8		
contig_638	1233	1544	+	KLHPPI_08600	11.7	10.9	PF01381.25|HTH_3, PF13560.9|HTH_31	PFAM:PF01381.25, PFAM:PF13560.9
contig_639	262	543	+	KLHPPI_08610	10.0	11.9		
contig_639	625	738	+	KLHPPI_08615	4.0	12.0		
contig_639	741	2021	+	KLHPPI_08620	46.4	4.3		
contig_639	2303	2866	-	KLHPPI_08625	20.0	4.9	PF16576.8|HlyD_D23	PFAM:PF16576.8
contig_640	4	300	+	KLHPPI_08630	11.0	11.1		
contig_640	400	993	+	KLHPPI_08635	21.3	12.0		
contig_641	4173	6017	-	KLHPPI_08665	67.8	5.9	PF00512.28|HisKA, PF00989.28|PAS, PF02518.29|HATPase_c, PF05231.17|MASE1, PF08448.13|PAS_4, PF13188.10|PAS_8, PF13426.10|PAS_9	PFAM:PF00512.28, PFAM:PF00989.28, PFAM:PF02518.29, PFAM:PF05231.17, PFAM:PF08448.13, PFAM:PF13188.10, PFAM:PF13426.10
contig_642	233	952	+	KLHPPI_08670	26.7	11.3		
contig_643	2143	2331	-	KLHPPI_08705	7.2	8.4		
contig_644	1029	1262	+	KLHPPI_08710	8.0	12.0		
contig_645	176	988	+	KLHPPI_08715	29.4	9.4	PF00148.22|Oxidored_nitro	PFAM:PF00148.22
contig_645	985	1452	+	KLHPPI_08720	15.8	7.7	PF00148.22|Oxidored_nitro	PFAM:PF00148.22
contig_646	71	460	+	KLHPPI_08725	13.8	5.3		
contig_646	415	1188	+	KLHPPI_08730	29.6	10.4		
contig_648	562	2859	-	KLHPPI_08745	82.0	6.6		
contig_648	5380	5664	-	KLHPPI_08770	10.5	11.2		
contig_650	5	238	+	KLHPPI_08795	7.6	9.5		
contig_650	4155	5264	-	KLHPPI_08805	40.0	6.7	PF16697.8|Yop-YscD_cpl	PFAM:PF16697.8
contig_651	56	649	+	KLHPPI_08810	21.0	6.2	PF13487.9|HD_5	PFAM:PF13487.9
contig_651	659	1732	-	KLHPPI_08815	36.1	4.1		
contig_652	11	157	+	KLHPPI_08820	5.0	4.7		
contig_653	597	974	+	KLHPPI_08840	13.6	5.3		
contig_656	948	1460	-	KLHPPI_08855	18.9	12.0		
contig_657	1399	2079	-	KLHPPI_08860	24.8	5.8	PF13519.9|VWA_2	PFAM:PF13519.9
contig_660	128	556	+	KLHPPI_08880	16.2	6.8		
contig_660	568	1797	-	KLHPPI_08885	42.1	4.5		
contig_661	4	270	+	KLHPPI_08890	9.5	10.9		
contig_661	2646	3296	-	KLHPPI_08900	23.7	5.7	PF16363.8|GDP_Man_Dehyd	PFAM:PF16363.8
contig_662	1	111	+	KLHPPI_08905	3.9	4.8		
contig_664	370	612	+	KLHPPI_08945	9.1	10.5		
contig_664	955	1113	+	KLHPPI_08950	5.7	11.6		
contig_666	366	1238	+	KLHPPI_08965	32.2	5.6		
contig_668	2902	3720	+	KLHPPI_08990	31.7	8.6	PF01409.23|tRNA-synt_2d, PF13393.9|tRNA-synt_His	PFAM:PF01409.23, PFAM:PF13393.9
contig_669	441	647	+	KLHPPI_08995	7.2	6.2		
contig_669	613	2079	-	KLHPPI_09000	51.5	4.8		
contig_670	566	1159	-	KLHPPI_09010	19.5	5.0		
contig_671	1055	1507	-	KLHPPI_09015	16.8	5.5		
contig_672	343	915	+	KLHPPI_09020	20.9	6.5		
contig_672	861	1529	-	KLHPPI_09025	22.5	4.1		
contig_673	90	2084	+	KLHPPI_09030	66.9	4.5		
contig_674	506	637	+	KLHPPI_09035	4.6	11.1		
contig_675	32	1186	+	KLHPPI_09045	42.7	9.2	PF07748.16|Glyco_hydro_38C	PFAM:PF07748.16
contig_675	3043	3933	-	KLHPPI_09060	31.5	6.8		
contig_676	143	955	+	KLHPPI_09065	29.0	8.0		
contig_676	2632	2913	-	KLHPPI_09080	10.2	4.8		
contig_677	159	752	+	KLHPPI_09085	22.1	6.7		
contig_678	1247	2113	-	KLHPPI_09090	32.5	8.7		
contig_678	2110	2841	-	KLHPPI_09095	28.3	9.5		
contig_679	59	328	+	KLHPPI_09100	9.6	4.7	PF02774.21|Semialdhyde_dhC	PFAM:PF02774.21
contig_679	321	1976	-	KLHPPI_09105	61.5	6.6		
contig_680	72	1466	+	KLHPPI_09110	48.4	5.1		
contig_680	3180	3851	-	KLHPPI_09120	25.0	5.2	PF08668.15|HDOD	PFAM:PF08668.15
contig_681	477	2357	+	KLHPPI_09125	66.4	8.7	PF00515.31|TPR_1, PF07719.20|TPR_2, PF07721.17|TPR_4, PF13181.9|TPR_8, PF13374.9|TPR_10, PF13414.9|TPR_11, PF13424.9|TPR_12, PF13428.9|TPR_14, PF13431.9|TPR_17, PF13432.9|TPR_16, PF14559.9|TPR_19	PFAM:PF00515.31, PFAM:PF07719.20, PFAM:PF07721.17, PFAM:PF13181.9, PFAM:PF13374.9, PFAM:PF13414.9, PFAM:PF13424.9, PFAM:PF13428.9, PFAM:PF13431.9, PFAM:PF13432.9, PFAM:PF14559.9
contig_682	10	1056	+	KLHPPI_09130	34.6	10.6		
contig_683	298	561	-	KLHPPI_09135	9.6	12.0		
contig_684	170	358	+	KLHPPI_09140	6.5	9.5		
contig_684	376	2001	+	KLHPPI_09145	58.4	5.5	PF03629.21|SASA	PFAM:PF03629.21
contig_685	8	1198	+	KLHPPI_09150	42.3	4.6		
contig_685	1798	3162	-	KLHPPI_09160	46.6	4.4		
contig_685	3111	3872	-	KLHPPI_09165	27.3	12.0		
contig_686	113	346	-	KLHPPI_09170	8.2	10.9		
contig_686	1037	1462	-	KLHPPI_09175	15.5	11.7		
contig_688	697	993	-	KLHPPI_09190	11.3	5.8	PF05016.18|ParE_toxin	PFAM:PF05016.18
contig_688	978	1163	-	KLHPPI_09195	6.7	5.0		
contig_689	15	710	+	KLHPPI_09210	25.1	10.6		
contig_689	2417	3292	+	KLHPPI_09225	31.9	9.8		
contig_689	5461	5616	-	KLHPPI_09250	5.5	10.8		
contig_691	111	863	+	KLHPPI_09265	27.4	7.1	PF00155.24|Aminotran_1_2	PFAM:PF00155.24
contig_692	1620	1859	-	KLHPPI_09290	8.8	9.3		
contig_693	1971	2345	-	KLHPPI_09300	13.7	11.6		
contig_694	56	223	+	KLHPPI_09305	6.1	10.3		
contig_695	186	1571	+	KLHPPI_09325	51.6	6.0	PF00004.32|AAA, PF00158.29|Sigma54_activat, PF07724.17|AAA_2, PF07728.17|AAA_5, PF10431.12|ClpB_D2-small	PFAM:PF00004.32, PFAM:PF00158.29, PFAM:PF07724.17, PFAM:PF07728.17, PFAM:PF10431.12
contig_695	1584	1946	+	KLHPPI_09330	13.6	10.3		
contig_695	2107	2844	-	KLHPPI_09340	27.8	7.1		
contig_696	425	2092	-	KLHPPI_09345	63.7	9.9		
contig_697	167	319	+	KLHPPI_09350	5.5	11.8		
contig_698	361	837	+	KLHPPI_09365	16.3	4.6	PF20256.1|MoCoBD_2	PFAM:PF20256.1
contig_701	332	526	+	KLHPPI_09385	7.4	10.9		
contig_701	557	835	+	KLHPPI_09390	10.3	10.3		
contig_702	4	1422	-	KLHPPI_09405	50.8	11.5		
contig_703	775	1437	-	KLHPPI_09410	21.4	12.0		
contig_704	504	1088	+	KLHPPI_09415	21.3	10.0		
contig_705	683	1471	-	KLHPPI_09425	27.2	9.2	PF00930.24|DPPIV_N, PF07676.15|PD40, PF10647.12|Gmad1	PFAM:PF00930.24, PFAM:PF07676.15, PFAM:PF10647.12
contig_706	209	1432	+	KLHPPI_09430	40.5	4.1		
contig_706	1519	2295	-	KLHPPI_09435	28.1	5.0		
