locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIDNPDGF_00517	CDS	324	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
NIDNPDGF_00518	gene	312				
NIDNPDGF_00518	CDS	312				hypothetical protein
NIDNPDGF_00519	gene	1224				
NIDNPDGF_00519	CDS	1224				hypothetical protein
NIDNPDGF_00520	gene	744				
NIDNPDGF_00520	CDS	744				hypothetical protein
NIDNPDGF_00521	gene	795	rsmA			
NIDNPDGF_00521	CDS	795	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
NIDNPDGF_00522	gene	1728				
NIDNPDGF_00522	CDS	1728				hypothetical protein
NIDNPDGF_00523	gene	909	rhaS_2			
NIDNPDGF_00523	CDS	909	rhaS_2			HTH-type transcriptional activator RhaS
NIDNPDGF_00524	gene	576				
NIDNPDGF_00524	CDS	576				hypothetical protein
NIDNPDGF_00525	gene	390				
NIDNPDGF_00525	CDS	390				hypothetical protein
NIDNPDGF_00526	gene	1395				
NIDNPDGF_00526	CDS	1395				hypothetical protein
NIDNPDGF_00527	gene	552				
NIDNPDGF_00527	CDS	552				hypothetical protein
NIDNPDGF_00528	gene	1590				
NIDNPDGF_00528	CDS	1590				hypothetical protein
NIDNPDGF_00529	gene	615	gmhA_1			
NIDNPDGF_00529	CDS	615	gmhA_1	5.3.1.28	COG0279	Phosphoheptose isomerase
NIDNPDGF_00530	gene	531	gmhB_1			
NIDNPDGF_00530	CDS	531	gmhB_1	3.1.3.83		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
NIDNPDGF_00531	gene	726	tal			
NIDNPDGF_00531	CDS	726	tal	2.2.1.2	COG0176	Transaldolase
NIDNPDGF_00532	gene	489				
NIDNPDGF_00532	CDS	489				hypothetical protein
NIDNPDGF_00533	gene	1842	btuD_1			
NIDNPDGF_00533	CDS	1842	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NIDNPDGF_00534	gene	1167	btuD_2			
NIDNPDGF_00534	CDS	1167	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NIDNPDGF_00535	gene	681	modB			
NIDNPDGF_00535	CDS	681	modB		COG4149	Molybdenum transport system permease protein ModB
NIDNPDGF_00536	gene	315	queD			
NIDNPDGF_00536	CDS	315	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
NIDNPDGF_00537	gene	1086	luxC			
NIDNPDGF_00537	CDS	1086	luxC	1.2.1.50		Long-chain acyl-protein thioester reductase
NIDNPDGF_00538	gene	228				
NIDNPDGF_00538	CDS	228				hypothetical protein
NIDNPDGF_00539	gene	267	fabZ			
NIDNPDGF_00539	CDS	267	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
NIDNPDGF_00540	gene	771	lpxA			
NIDNPDGF_00540	CDS	771	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
NIDNPDGF_00541	gene	74				
NIDNPDGF_00541	tRNA	74				tRNA-Pro(cgg)
NIDNPDGF_00542	gene	243	kup			
NIDNPDGF_00542	CDS	243	kup			Low affinity potassium transport system protein kup
NIDNPDGF_00543	gene	237				
NIDNPDGF_00543	CDS	237				hypothetical protein
NIDNPDGF_00544	gene	888	dagK			
NIDNPDGF_00544	CDS	888	dagK	2.7.1.107		Diacylglycerol kinase
NIDNPDGF_00545	gene	267				
NIDNPDGF_00545	CDS	267				hypothetical protein
NIDNPDGF_00546	gene	759				
NIDNPDGF_00546	CDS	759				hypothetical protein
NIDNPDGF_00547	gene	234				
NIDNPDGF_00547	CDS	234				hypothetical protein
NIDNPDGF_00548	gene	435				
NIDNPDGF_00548	CDS	435				hypothetical protein
NIDNPDGF_00549	gene	1011	xdh_2			
NIDNPDGF_00549	CDS	1011	xdh_2	1.1.1.179		D-xylose dehydrogenase
NIDNPDGF_00550	gene	1317				
NIDNPDGF_00550	CDS	1317				hypothetical protein
NIDNPDGF_00551	gene	423				
NIDNPDGF_00551	CDS	423				hypothetical protein
NIDNPDGF_00552	gene	1569				
NIDNPDGF_00552	CDS	1569				hypothetical protein
NIDNPDGF_00553	gene	2292				
NIDNPDGF_00553	CDS	2292				hypothetical protein
NIDNPDGF_00554	gene	1350	cpoB			
NIDNPDGF_00554	CDS	1350	cpoB			Cell division coordinator CpoB
NIDNPDGF_00555	gene	285				
NIDNPDGF_00555	CDS	285				hypothetical protein
NIDNPDGF_00556	gene	2028	uvrA			
NIDNPDGF_00556	CDS	2028	uvrA		COG0178	UvrABC system protein A
NIDNPDGF_00557	gene	405	vapC			
NIDNPDGF_00557	CDS	405	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
NIDNPDGF_00558	gene	264				
NIDNPDGF_00558	CDS	264				hypothetical protein
NIDNPDGF_00559	gene	981				
NIDNPDGF_00559	CDS	981				hypothetical protein
NIDNPDGF_00560	gene	1560				
NIDNPDGF_00560	CDS	1560				hypothetical protein
NIDNPDGF_00561	gene	111				
NIDNPDGF_00561	CDS	111				hypothetical protein
NIDNPDGF_00562	gene	501				
NIDNPDGF_00562	CDS	501				hypothetical protein
NIDNPDGF_00563	gene	870	btr_2			
NIDNPDGF_00563	CDS	870	btr_2		COG0614	HTH-type transcriptional activator Btr
NIDNPDGF_00564	gene	264				
NIDNPDGF_00564	CDS	264				hypothetical protein
NIDNPDGF_00565	gene	1080				
NIDNPDGF_00565	CDS	1080		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NIDNPDGF_00566	gene	540				
NIDNPDGF_00566	CDS	540				hypothetical protein
NIDNPDGF_00567	gene	129				
NIDNPDGF_00567	CDS	129				hypothetical protein
NIDNPDGF_00568	gene	95				
NIDNPDGF_00568	tRNA	95				tRNA-Arg(gcg)
NIDNPDGF_00569	gene	462				
NIDNPDGF_00569	CDS	462				hypothetical protein
NIDNPDGF_00570	gene	1170				
NIDNPDGF_00570	CDS	1170				hypothetical protein
NIDNPDGF_00571	gene	615				
NIDNPDGF_00571	CDS	615				hypothetical protein
NIDNPDGF_00572	gene	666	sucB_1			
NIDNPDGF_00572	CDS	666	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
NIDNPDGF_00573	gene	1050				
NIDNPDGF_00573	CDS	1050				hypothetical protein
NIDNPDGF_00574	gene	1167	rlmI			
NIDNPDGF_00574	CDS	1167	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
NIDNPDGF_00575	gene	447	yqgF			
NIDNPDGF_00575	CDS	447	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
NIDNPDGF_00576	gene	1326				
NIDNPDGF_00576	CDS	1326				hypothetical protein
NIDNPDGF_00577	gene	135				
NIDNPDGF_00577	CDS	135				hypothetical protein
NIDNPDGF_00578	gene	453				
NIDNPDGF_00578	CDS	453				hypothetical protein
NIDNPDGF_00579	gene	1221				
NIDNPDGF_00579	CDS	1221				hypothetical protein
NIDNPDGF_00580	gene	1230				
NIDNPDGF_00580	CDS	1230				hypothetical protein
NIDNPDGF_00581	gene	744				
NIDNPDGF_00581	CDS	744				hypothetical protein
NIDNPDGF_00582	gene	429				
NIDNPDGF_00582	CDS	429				hypothetical protein
NIDNPDGF_00583	gene	786	glcR			
NIDNPDGF_00583	CDS	786	glcR		COG1349	HTH-type transcriptional repressor GlcR
NIDNPDGF_00584	gene	438				
NIDNPDGF_00584	CDS	438				hypothetical protein
NIDNPDGF_00585	gene	624				
NIDNPDGF_00585	CDS	624				hypothetical protein
NIDNPDGF_00586	gene	354				
NIDNPDGF_00586	CDS	354				hypothetical protein
NIDNPDGF_00587	gene	342				
NIDNPDGF_00587	CDS	342				hypothetical protein
NIDNPDGF_00588	gene	1755	mnmG			
NIDNPDGF_00588	CDS	1755	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
NIDNPDGF_00589	gene	1677	mshA_2			
NIDNPDGF_00589	CDS	1677	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
NIDNPDGF_00590	gene	915				
NIDNPDGF_00590	CDS	915				hypothetical protein
NIDNPDGF_00591	gene	1959				
NIDNPDGF_00591	CDS	1959				hypothetical protein
NIDNPDGF_00592	gene	1095				
NIDNPDGF_00592	CDS	1095				hypothetical protein
NIDNPDGF_00593	gene	579				
NIDNPDGF_00593	CDS	579				hypothetical protein
NIDNPDGF_00594	gene	324	motA			
NIDNPDGF_00594	CDS	324	motA		COG1291	Motility protein A
NIDNPDGF_00595	gene	759	lafU			
NIDNPDGF_00595	CDS	759	lafU		COG1360	Chemotaxis protein LafU
NIDNPDGF_00596	gene	390				
NIDNPDGF_00596	CDS	390				hypothetical protein
NIDNPDGF_00597	gene	801	flgG			
NIDNPDGF_00597	CDS	801	flgG		COG4786	Flagellar basal-body rod protein FlgG
NIDNPDGF_00598	gene	663	ypbG			
NIDNPDGF_00598	CDS	663	ypbG		COG1408	putative protein YpbG
NIDNPDGF_00599	gene	285				
NIDNPDGF_00599	CDS	285				hypothetical protein
NIDNPDGF_00600	gene	372				
NIDNPDGF_00600	CDS	372				hypothetical protein
NIDNPDGF_00601	gene	120				
NIDNPDGF_00601	CDS	120				hypothetical protein
NIDNPDGF_00602	gene	258				
NIDNPDGF_00602	CDS	258				hypothetical protein
NIDNPDGF_00603	gene	453				
NIDNPDGF_00603	CDS	453				hypothetical protein
NIDNPDGF_00604	gene	132				
NIDNPDGF_00604	CDS	132				hypothetical protein
NIDNPDGF_00605	gene	1173				
NIDNPDGF_00605	CDS	1173				hypothetical protein
NIDNPDGF_00606	gene	366				
NIDNPDGF_00606	CDS	366				hypothetical protein
NIDNPDGF_00607	gene	306				
NIDNPDGF_00607	CDS	306				hypothetical protein
NIDNPDGF_00608	gene	1257	gdhA			
NIDNPDGF_00608	CDS	1257	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
NIDNPDGF_00609	gene	576	pabA			
NIDNPDGF_00609	CDS	576	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
NIDNPDGF_00610	gene	90				
NIDNPDGF_00610	CDS	90				hypothetical protein
NIDNPDGF_00611	gene	513	pimB_1			
NIDNPDGF_00611	CDS	513	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
NIDNPDGF_00612	gene	1218	bioF			
NIDNPDGF_00612	CDS	1218	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
NIDNPDGF_00613	gene	195				
NIDNPDGF_00613	CDS	195				hypothetical protein
NIDNPDGF_00614	gene	129				
NIDNPDGF_00614	CDS	129				hypothetical protein
NIDNPDGF_00615	gene	354				
NIDNPDGF_00615	CDS	354				hypothetical protein
NIDNPDGF_00616	gene	819	trpA			
NIDNPDGF_00616	CDS	819	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NIDNPDGF_00617	gene	537				
NIDNPDGF_00617	CDS	537				hypothetical protein
NIDNPDGF_00618	gene	321				
NIDNPDGF_00618	CDS	321				hypothetical protein
NIDNPDGF_00619	gene	513				
NIDNPDGF_00619	CDS	513				hypothetical protein
NIDNPDGF_00620	gene	366				
NIDNPDGF_00620	CDS	366				hypothetical protein
NIDNPDGF_00621	gene	810	pqqB			
NIDNPDGF_00621	CDS	810	pqqB		COG1235	Coenzyme PQQ synthesis protein B
NIDNPDGF_00622	gene	456	arcB			
NIDNPDGF_00622	CDS	456	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
NIDNPDGF_00623	gene	642	ddpX			
NIDNPDGF_00623	CDS	642	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
NIDNPDGF_00624	gene	534				
NIDNPDGF_00624	CDS	534				hypothetical protein
NIDNPDGF_00625	gene	627	gppA			
NIDNPDGF_00625	CDS	627	gppA	3.6.1.40		Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
NIDNPDGF_00626	gene	396				
NIDNPDGF_00626	CDS	396				hypothetical protein
NIDNPDGF_00627	gene	906				
NIDNPDGF_00627	CDS	906				hypothetical protein
NIDNPDGF_00628	gene	771				
NIDNPDGF_00628	CDS	771		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
NIDNPDGF_00629	gene	963	aroE			
NIDNPDGF_00629	CDS	963	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
NIDNPDGF_00630	gene	861	outO			
NIDNPDGF_00630	CDS	861	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
NIDNPDGF_00631	gene	1305				
NIDNPDGF_00631	CDS	1305				hypothetical protein
NIDNPDGF_00632	gene	417				
NIDNPDGF_00632	CDS	417				hypothetical protein
NIDNPDGF_00633	gene	1071				
NIDNPDGF_00633	CDS	1071				hypothetical protein
NIDNPDGF_00634	gene	77				
NIDNPDGF_00634	tRNA	77				tRNA-Met(cat)
NIDNPDGF_00635	gene	807				
NIDNPDGF_00635	CDS	807				hypothetical protein
NIDNPDGF_00636	gene	843	nadB_1			
NIDNPDGF_00636	CDS	843	nadB_1	1.4.3.16	COG0029	L-aspartate oxidase
NIDNPDGF_00637	gene	318				
NIDNPDGF_00637	CDS	318				hypothetical protein
NIDNPDGF_00638	gene	711				
NIDNPDGF_00638	CDS	711				hypothetical protein
NIDNPDGF_00639	gene	543				
NIDNPDGF_00639	CDS	543				hypothetical protein
NIDNPDGF_00640	gene	612	gltS			
NIDNPDGF_00640	CDS	612	gltS	1.4.7.1		Ferredoxin-dependent glutamate synthase 2
NIDNPDGF_00641	gene	921				
NIDNPDGF_00641	CDS	921				hypothetical protein
NIDNPDGF_00642	gene	510	cusA			
NIDNPDGF_00642	CDS	510	cusA		COG3696	Cation efflux system protein CusA
NIDNPDGF_00643	gene	1065				
NIDNPDGF_00643	CDS	1065				hypothetical protein
NIDNPDGF_00644	gene	483				
NIDNPDGF_00644	CDS	483				hypothetical protein
NIDNPDGF_00645	gene	86				
NIDNPDGF_00645	tRNA	86				tRNA-Leu(taa)
NIDNPDGF_00646	gene	480				
NIDNPDGF_00646	CDS	480				hypothetical protein
NIDNPDGF_00647	gene	867				
NIDNPDGF_00647	CDS	867				hypothetical protein
NIDNPDGF_00648	gene	642	yceI			
NIDNPDGF_00648	CDS	642	yceI			Protein YceI
NIDNPDGF_00649	gene	288				
NIDNPDGF_00649	CDS	288				hypothetical protein
NIDNPDGF_00650	gene	1401	sasA_2			
NIDNPDGF_00650	CDS	1401	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
NIDNPDGF_00651	gene	666	copR			
NIDNPDGF_00651	CDS	666	copR			Transcriptional activator protein CopR
NIDNPDGF_00652	gene	345	hoxY			
NIDNPDGF_00652	CDS	345	hoxY	1.12.1.2		NAD-reducing hydrogenase HoxS subunit delta
NIDNPDGF_00653	gene	1425	hoxH			
NIDNPDGF_00653	CDS	1425	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
NIDNPDGF_00654	gene	480				
NIDNPDGF_00654	CDS	480				hypothetical protein
NIDNPDGF_00655	gene	798	hypB			
NIDNPDGF_00655	CDS	798	hypB		COG0378	Hydrogenase maturation factor HypB
NIDNPDGF_00656	gene	348	hypA			
NIDNPDGF_00656	CDS	348	hypA		COG0375	Hydrogenase maturation factor HypA
NIDNPDGF_00657	gene	714				
NIDNPDGF_00657	CDS	714				hypothetical protein
NIDNPDGF_00658	gene	1071				
NIDNPDGF_00658	CDS	1071				hypothetical protein
NIDNPDGF_00659	gene	357	prfB			
NIDNPDGF_00659	CDS	357	prfB			Peptide chain release factor 2
NIDNPDGF_00660	gene	321	flgC			
NIDNPDGF_00660	CDS	321	flgC		COG1558	Flagellar basal-body rod protein FlgC
NIDNPDGF_00661	gene	213	proC			
NIDNPDGF_00661	CDS	213	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
NIDNPDGF_00662	gene	1632	macB_2			
NIDNPDGF_00662	CDS	1632	macB_2	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
NIDNPDGF_00663	gene	933				
NIDNPDGF_00663	CDS	933				hypothetical protein
NIDNPDGF_00664	gene	789				
NIDNPDGF_00664	CDS	789				hypothetical protein
NIDNPDGF_00665	gene	1389	petJ_1			
NIDNPDGF_00665	CDS	1389	petJ_1			Cytochrome c6
NIDNPDGF_00666	gene	861	flaB3			
NIDNPDGF_00666	CDS	861	flaB3			Flagellar filament 30.7 kDa core protein
NIDNPDGF_00667	gene	1587				
NIDNPDGF_00667	CDS	1587				hypothetical protein
NIDNPDGF_00668	gene	357	mprA			
NIDNPDGF_00668	CDS	357	mprA		COG0745	Response regulator MprA
NIDNPDGF_00669	gene	627	cheC			
NIDNPDGF_00669	CDS	627	cheC	3.-.-.-	COG1776	CheY-P phosphatase CheC
NIDNPDGF_00670	gene	1149	rcsC_5			
NIDNPDGF_00670	CDS	1149	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
NIDNPDGF_00671	gene	153				
NIDNPDGF_00671	CDS	153				hypothetical protein
NIDNPDGF_00672	gene	813	pstS			
NIDNPDGF_00672	CDS	813	pstS		COG0226	Phosphate-binding protein PstS
NIDNPDGF_00673	gene	1575				
NIDNPDGF_00673	CDS	1575				hypothetical protein
NIDNPDGF_00674	gene	1917				
NIDNPDGF_00674	CDS	1917				hypothetical protein
NIDNPDGF_00675	gene	777				
NIDNPDGF_00675	CDS	777				hypothetical protein
NIDNPDGF_00676	gene	1224				
NIDNPDGF_00676	CDS	1224				hypothetical protein
NIDNPDGF_00677	gene	1080				
NIDNPDGF_00677	CDS	1080				hypothetical protein
NIDNPDGF_00678	gene	336				
NIDNPDGF_00678	CDS	336				hypothetical protein
NIDNPDGF_00679	gene	285				
NIDNPDGF_00679	CDS	285				hypothetical protein
NIDNPDGF_00680	gene	198				
NIDNPDGF_00680	CDS	198				hypothetical protein
NIDNPDGF_00681	gene	1812				
NIDNPDGF_00681	CDS	1812				hypothetical protein
NIDNPDGF_00682	gene	738				
NIDNPDGF_00682	CDS	738				hypothetical protein
NIDNPDGF_00683	gene	861	oppC			
NIDNPDGF_00683	CDS	861	oppC		COG1173	Oligopeptide transport system permease protein OppC
NIDNPDGF_00684	gene	654				
NIDNPDGF_00684	CDS	654				hypothetical protein
NIDNPDGF_00685	gene	1926				
NIDNPDGF_00685	CDS	1926				hypothetical protein
NIDNPDGF_00686	gene	807	tuaD			
NIDNPDGF_00686	CDS	807	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
NIDNPDGF_00687	gene	1266	purA			
NIDNPDGF_00687	CDS	1266	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
NIDNPDGF_00688	gene	1032				
NIDNPDGF_00688	CDS	1032				hypothetical protein
NIDNPDGF_00689	gene	408				
NIDNPDGF_00689	CDS	408				hypothetical protein
NIDNPDGF_00690	gene	486				
NIDNPDGF_00690	CDS	486				hypothetical protein
NIDNPDGF_00691	gene	765				
NIDNPDGF_00691	CDS	765				hypothetical protein
NIDNPDGF_00692	gene	615				
NIDNPDGF_00692	CDS	615				hypothetical protein
NIDNPDGF_00693	gene	402	ribE			
NIDNPDGF_00693	CDS	402	ribE	2.5.1.9	COG0307	Riboflavin synthase
NIDNPDGF_00694	gene	309				
NIDNPDGF_00694	CDS	309				hypothetical protein
NIDNPDGF_00695	gene	1032	hprK			
NIDNPDGF_00695	CDS	1032	hprK	2.7.11.-		HPr kinase/phosphorylase
NIDNPDGF_00696	gene	1203	menF			
NIDNPDGF_00696	CDS	1203	menF	5.4.4.2		Isochorismate synthase MenF
NIDNPDGF_00697	gene	939				
NIDNPDGF_00697	CDS	939				hypothetical protein
NIDNPDGF_00698	gene	780				
NIDNPDGF_00698	CDS	780				hypothetical protein
NIDNPDGF_00699	gene	663				
NIDNPDGF_00699	CDS	663				hypothetical protein
NIDNPDGF_00700	gene	552				
NIDNPDGF_00700	CDS	552				hypothetical protein
NIDNPDGF_00701	gene	912	rhaS_3			
NIDNPDGF_00701	CDS	912	rhaS_3			HTH-type transcriptional activator RhaS
NIDNPDGF_00702	gene	270				
NIDNPDGF_00702	CDS	270				hypothetical protein
NIDNPDGF_00703	gene	729	yggS			
NIDNPDGF_00703	CDS	729	yggS		COG0325	Pyridoxal phosphate homeostasis protein
NIDNPDGF_00704	gene	372				
NIDNPDGF_00704	CDS	372				hypothetical protein
NIDNPDGF_00705	gene	75				
NIDNPDGF_00705	tRNA	75				tRNA-Asn(gtt)
NIDNPDGF_00706	gene	1131				
NIDNPDGF_00706	CDS	1131				hypothetical protein
NIDNPDGF_00707	gene	1662				
NIDNPDGF_00707	CDS	1662				hypothetical protein
NIDNPDGF_00708	gene	1698				
NIDNPDGF_00708	CDS	1698				hypothetical protein
NIDNPDGF_00709	gene	82				
NIDNPDGF_00709	tRNA	82				tRNA-Leu(cag)
NIDNPDGF_00710	gene	486				
NIDNPDGF_00710	CDS	486				hypothetical protein
NIDNPDGF_00711	gene	153				
NIDNPDGF_00711	CDS	153				hypothetical protein
NIDNPDGF_00712	gene	858				
NIDNPDGF_00712	CDS	858				hypothetical protein
NIDNPDGF_00713	gene	207				
NIDNPDGF_00713	CDS	207				hypothetical protein
NIDNPDGF_00714	gene	834	ygfZ			
NIDNPDGF_00714	CDS	834	ygfZ		COG0354	tRNA-modifying protein YgfZ
NIDNPDGF_00715	gene	357				
NIDNPDGF_00715	CDS	357				hypothetical protein
NIDNPDGF_00716	gene	417	crcB			
NIDNPDGF_00716	CDS	417	crcB		COG0239	Putative fluoride ion transporter CrcB
NIDNPDGF_00717	gene	1293				
NIDNPDGF_00717	CDS	1293				hypothetical protein
NIDNPDGF_00718	gene	1011				
NIDNPDGF_00718	CDS	1011				hypothetical protein
NIDNPDGF_00719	gene	435	hndA			
NIDNPDGF_00719	CDS	435	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
NIDNPDGF_00720	gene	1647	rsxC			
NIDNPDGF_00720	CDS	1647	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
NIDNPDGF_00721	gene	309				
NIDNPDGF_00721	CDS	309				hypothetical protein
NIDNPDGF_00722	gene	825				
NIDNPDGF_00722	CDS	825				hypothetical protein
NIDNPDGF_00723	gene	615				
NIDNPDGF_00723	CDS	615				hypothetical protein
NIDNPDGF_00724	gene	132	fliE			
NIDNPDGF_00724	CDS	132	fliE			Flagellar hook-basal body complex protein FliE
NIDNPDGF_00725	gene	1602				
NIDNPDGF_00725	CDS	1602				hypothetical protein
NIDNPDGF_00726	gene	1089	fliG			
NIDNPDGF_00726	CDS	1089	fliG		COG1536	Flagellar motor switch protein FliG
NIDNPDGF_00727	gene	627				
NIDNPDGF_00727	CDS	627				hypothetical protein
NIDNPDGF_00728	gene	1821	atpB_2			
NIDNPDGF_00728	CDS	1821	atpB_2	7.1.2.2		ATP synthase subunit beta
NIDNPDGF_00729	gene	633				
NIDNPDGF_00729	CDS	633				hypothetical protein
NIDNPDGF_00730	gene	744				
NIDNPDGF_00730	CDS	744				hypothetical protein
NIDNPDGF_00731	gene	405	apaG			
NIDNPDGF_00731	CDS	405	apaG			Protein ApaG
NIDNPDGF_00732	gene	378				
NIDNPDGF_00732	CDS	378				hypothetical protein
NIDNPDGF_00733	gene	513	yvqK			
NIDNPDGF_00733	CDS	513	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
NIDNPDGF_00734	gene	864				
NIDNPDGF_00734	CDS	864				hypothetical protein
NIDNPDGF_00735	gene	714	psd			
NIDNPDGF_00735	CDS	714	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
NIDNPDGF_00736	gene	957				
NIDNPDGF_00736	CDS	957		5.1.3.2	COG1088	UDP-glucose 4-epimerase
NIDNPDGF_00737	gene	2199				
NIDNPDGF_00737	CDS	2199				hypothetical protein
NIDNPDGF_00738	gene	810	rhaS_4			
NIDNPDGF_00738	CDS	810	rhaS_4			HTH-type transcriptional activator RhaS
NIDNPDGF_00739	gene	1938				
NIDNPDGF_00739	CDS	1938				hypothetical protein
NIDNPDGF_00740	gene	1269	wcaJ			
NIDNPDGF_00740	CDS	1269	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
NIDNPDGF_00741	gene	1809				
NIDNPDGF_00741	CDS	1809				hypothetical protein
NIDNPDGF_00742	gene	432	hemL			
NIDNPDGF_00742	CDS	432	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
NIDNPDGF_00743	gene	1947				
NIDNPDGF_00743	CDS	1947				hypothetical protein
NIDNPDGF_00744	gene	1260	alaS			
NIDNPDGF_00744	CDS	1260	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
NIDNPDGF_00745	gene	1353	ribBA			
NIDNPDGF_00745	CDS	1353	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
NIDNPDGF_00746	gene	999				
NIDNPDGF_00746	CDS	999				hypothetical protein
NIDNPDGF_00747	gene	693				
NIDNPDGF_00747	CDS	693				hypothetical protein
NIDNPDGF_00748	gene	594	tsaB			
NIDNPDGF_00748	CDS	594	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NIDNPDGF_00749	gene	456	tsaE			
NIDNPDGF_00749	CDS	456	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
NIDNPDGF_00750	gene	495	mqnB			
NIDNPDGF_00750	CDS	495	mqnB	3.2.2.26		Futalosine hydrolase
NIDNPDGF_00751	gene	2151	shc			
NIDNPDGF_00751	CDS	2151	shc	4.2.1.129	COG1657	Squalene--hopene cyclase
NIDNPDGF_00752	gene	864				
NIDNPDGF_00752	CDS	864				hypothetical protein
NIDNPDGF_00753	gene	360				
NIDNPDGF_00753	CDS	360				hypothetical protein
NIDNPDGF_00754	gene	570	htrA			
NIDNPDGF_00754	CDS	570	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
NIDNPDGF_00755	gene	363				
NIDNPDGF_00755	CDS	363				hypothetical protein
NIDNPDGF_00756	gene	1392	pgpH			
NIDNPDGF_00756	CDS	1392	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
NIDNPDGF_00757	gene	582	recO			
NIDNPDGF_00757	CDS	582	recO		COG1381	DNA repair protein RecO
NIDNPDGF_00758	gene	99				
NIDNPDGF_00758	CDS	99				hypothetical protein
NIDNPDGF_00759	gene	624				
NIDNPDGF_00759	CDS	624				hypothetical protein
NIDNPDGF_00760	gene	621				
NIDNPDGF_00760	CDS	621				hypothetical protein
NIDNPDGF_00761	gene	552	dapH			
NIDNPDGF_00761	CDS	552	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
NIDNPDGF_00762	gene	819				
NIDNPDGF_00762	CDS	819				hypothetical protein
NIDNPDGF_00763	gene	1236				
NIDNPDGF_00763	CDS	1236				hypothetical protein
NIDNPDGF_00764	gene	82				
NIDNPDGF_00764	tRNA	82				tRNA-Ile(gat)
NIDNPDGF_00765	gene	435				
NIDNPDGF_00765	CDS	435				hypothetical protein
NIDNPDGF_00766	gene	936	cmpR_2			
NIDNPDGF_00766	CDS	936	cmpR_2			HTH-type transcriptional activator CmpR
NIDNPDGF_00767	gene	1104	cmpC			
NIDNPDGF_00767	CDS	1104	cmpC	3.6.3.-	COG0715	Bicarbonate transport ATP-binding protein CmpC
NIDNPDGF_00768	gene	720	ccsA_1			
NIDNPDGF_00768	CDS	720	ccsA_1			Cytochrome c biogenesis protein CcsA
NIDNPDGF_00769	gene	939				
